student_id,n_evals,mean_rating,mean_sentiment,min_sentiment,share_negative,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5
S100000,4,3.0,-0.055100000000000024,-0.34,0.75,0.5288184536272565,0.14143520718193298,0.03036204111049037,0.23870126846636086,0.030324075673273602,0.030358953940685652
S100001,3,2.3333333333333335,0.4826,0.0,0.0,0.3137701929565523,0.02800480874916338,0.027998236907352782,0.426085385906092,0.17613051515310318,0.028010860327736285
S100002,2,3.5,0.42115,0.4019,0.0,0.04444444582632091,0.04444444583051621,0.04444444552116232,0.44444444258731697,0.37777777317853223,0.044444447056151345
S100003,3,2.0,-0.07543333333333334,-0.2263,0.3333333333333333,0.26578110102807123,0.0435185202904238,0.043518519879709845,0.293478152238007,0.31018518464930084,0.043518521914487296
S100004,2,3.0,0.3409,-0.1027,0.5,0.5607112212444798,0.1855154878017686,0.01886953558278145,0.19719094282537022,0.01886360437063418,0.018849208174965857
S100005,3,2.3333333333333335,-0.1134,-0.4404,0.3333333333333333,0.02561728524664805,0.57561032230038,0.025624240625105682,0.025617285837286494,0.13672778729225046,0.21080307869832945
S100006,3,4.333333333333333,0.11333333333333334,0.0,0.0,0.17752620799509855,0.02934385773403006,0.705082154597053,0.029405800248068614,0.029320989489326044,0.02932098993642371
S100007,2,4.0,0.0,0.0,0.0,0.034722223849357046,0.4097565183328315,0.45135458319530514,0.03472222459148441,0.034722224676626605,0.034722225354395266
S100008,3,3.6666666666666665,0.28119999999999995,-0.4449,0.3333333333333333,0.17929075285235632,0.031953106714133414,0.03194444524122261,0.44292280607852214,0.2819444427440571,0.031944446369708404
S100009,4,4.75,0.6346499999999999,0.4019,0.0,0.1581621064592708,0.03304462084603713,0.2205457891741729,0.3221593219423954,0.2330357139146511,0.033052447663472664
S100010,3,1.6666666666666667,0.0,0.0,0.0,0.30549047886314423,0.03888889029379299,0.038888889974531236,0.03888889095013378,0.28888888752237346,0.2889539623960244
S100011,3,3.6666666666666665,0.5362666666666667,0.4404,0.0,0.2839041119912908,0.2837848595897649,0.3302469131245159,0.0341163726598454,0.03395061916541178,0.03399712346917125
S100012,3,2.0,0.05063333333333333,-0.25,0.3333333333333333,0.028306880067399037,0.43782968765194896,0.028306879673607985,0.13941733464260705,0.02830688099539098,0.33783233696904597
S100013,3,4.0,0.08603333333333334,-0.4449,0.3333333333333333,0.34044632399106445,0.037457913626308265,0.03745791336566598,0.03749260918097861,0.5096873251828957,0.037457914653086975
S100014,2,4.5,0.46265,0.0,0.0,0.24520246693022243,0.02435282681975775,0.44093791593956866,0.2408666923742227,0.024305556859276652,0.024334541076951773
S100015,3,4.0,0.5563333333333333,0.5408,0.0,0.27624849237888677,0.02624116544224712,0.026234568550137418,0.1743626059992991,0.17438230302165883,0.32253086460777075
S100016,3,3.0,0.5190333333333333,0.0,0.0,0.31400854140913537,0.4060838131965836,0.02830687942400358,0.19497438185470928,0.0283068805071842,0.028319503608383884
S100017,3,2.0,-0.07626666666666666,-0.34,0.6666666666666666,0.3031764234004594,0.1614903898783355,0.03660661784144181,0.258926903648268,0.20322558805016247,0.03657407718133282
S100018,3,4.666666666666667,0.7691333333333333,0.5267,0.0,0.4823142223255581,0.029761905558657636,0.029815479488420477,0.39854964907714824,0.02976190596829892,0.0297968375819166
S100019,3,3.6666666666666665,0.1960333333333333,-0.1027,0.3333333333333333,0.3281851653374516,0.03658594923042074,0.036574074880118865,0.30327004488018394,0.25881068964674003,0.036574076025084834
S100020,2,3.5,0.64775,0.5859,0.0,0.4076683367286237,0.03273809649706083,0.03273809621907844,0.3184529998043697,0.17559461736769832,0.03280785338316901
S100021,4,2.0,0.20305,0.0,0.0,0.03936338330213697,0.03935185307401414,0.039351852797756784,0.22685185058748925,0.20601851702457763,0.44906254321402517
S100022,2,4.0,0.3998,-0.0577,0.0,0.24003978698463402,0.02579365190852216,0.24007907932545336,0.025793652454291043,0.44246031606634,0.025833513260759555
S100023,3,2.6666666666666665,0.016399999999999994,-0.25,0.6666666666666666,0.03936068767511199,0.03935185322332502,0.28935184920035706,0.26157407079973305,0.3310096846534768,0.03935185444799611
S100024,3,4.0,0.48383333333333334,0.34,0.0,0.2888996182162981,0.30555555262767875,0.28874684151925284,0.03897370161507139,0.038888890856340674,0.03893539516535822
S100025,4,3.0,0.25475000000000003,0.0,0.0,0.02547151481742758,0.2615736617016995,0.2441916701028966,0.025475706681991783,0.23032448364526104,0.21296296305072346
S100026,3,2.0,0.027899999999999998,-0.3182,0.3333333333333333,0.3105409844472901,0.3469696970719092,0.04393939544139488,0.04405516254757463,0.043939396924366825,0.21055536356746443
S100027,3,4.0,0.41209999999999997,0.0,0.0,0.2208115829660461,0.0403439165942724,0.04038405452925753,0.3955299836800807,0.2625661346536205,0.04036432757672278
S100028,4,4.25,0.41527499999999995,0.0,0.0,0.13466536719358266,0.027529763109081513,0.5364581866703224,0.027529763690394757,0.15251722942454535,0.12129968991207331
S100029,2,3.0,0.0,0.0,0.0,0.025965717662468343,0.19259035174211062,0.4259259232897131,0.025925927713182355,0.025925927776724964,0.30366615181580064
